Comment,Designator,Footprint,LCSC
"10 uF","C21,C22,C23,C28","Capacitor_SMD:C_1206_3216Metric",""
"22 uF","C24,C25,C26,C27","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C1,C2,C29,C31","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"0.01 uF","C32","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D","D1","Diode_SMD:D_SOD-123",""
"D","D21","Diode_SMD:D_SMC",""
"LED","D24,D25","LED_THT:LED_D3.0mm",""
"D_Zener","D26","Diode_SMD:D_SMB",""
"D_Zener","D27","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp",""
"Fuse","F21","Resistor_THT:R_Radial_Power_L11.0mm_W7.0mm_P5.00mm",""
"3mm_Mounting_Hole","H1,H2,H3,H4","project_footprints:NPTH_3mm_ID",""
"Conn_01x06","J1","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",""
"Conn_01x02","J21","eit_footprints:connector_TE_Connectivity_2_pin",""
"Conn_01x05","J22","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",""
"Conn_01x02","J29","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"40HAT","J3","Socket_Strips:Socket_Strip_Straight_2x20",""
"Conn_02x03_Odd_Even","J40","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"CONN_01X02","J9","Pin_Headers:Pin_Header_Straight_1x02",""
"1K","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"DNP","R11","Resistors_SMD:R_0805_HandSoldering",""
"100k","R25","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"1k","R27","Resistor_SMD:R_0805_2012Metric",""
"330","R22,R26,R28","Resistor_SMD:R_0805_2012Metric",""
"10K","R29","Resistor_SMD:R_0805_2012Metric",""
"1k","R31","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"100","R32","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3.9K","R6,R8","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"opto_receiver_broadcom","RX31","eit_footprints:opto_receiver_broadwell",""
"opto_transmitter_broadcom","TX31","eit_footprints:opto_transmitter_broadwell",""
"CAT24C32","U2","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"DC-DC_CUI_PDQE20","U21","eit_footprints:DC-DC_CUI_PDQE20-D",""
"4N25","U22,U23","Package_DIP:DIP-6_W7.62mm",""
"Adafruit_1i54_display","U50","eit_footprints:Adafruit_1i54_display",""